rank,name,location,state,median_SAT_ACT_score,SAT,ACT,est_price_2018_19_without_aid,est_price_2018.19_with_avg._grant,percent_with_need_who_get_grants,ave_student_debt,early_career_earnings,diff_price_ecEarning,diff_price_debt,lon,lat
570,George Fox University,"Newberg, OR",OR,1080/24,1080,24,50100,30000,100,22400,49300,-800,26900,-122.9667381,45.3033817
571,Ashland University,"Ashland, OH",OH,1060/23,1060,23,34800,22100,91,26300,41800,7000,15500,-82.323051,40.8619296
571,Southern Connecticut State University,"New Haven, CT",CT,930/21,930,21,26500,16100,66,23300,46600,20100,23300,-72.947462,41.332566
571,Keiser University-Ft Lauderdale,"Fort Lauderdale, FL",FL,NA/NA,NA,NA,32200,28300,NA,25800,42500,10300,16700,-80.1637775,26.1859607
574,New College of Florida,"Sarasota, FL",FL,1250/29,1250,29,21100,12800,92,14900,43700,22600,28800,-82.558703,27.384828
575,University of North Carolina at Greensboro,"Greensboro, NC",NC,1040/23,1040,23,21200,11200,67,22700,41900,20700,19200,-79.8101975,36.0689296
576,SUNY at Purchase College,"Purchase, NY",NY,1080/24,1080,24,27000,19500,98,22500,45500,18500,23000,-73.7004189,41.0470389
577,North Carolina A & T State University,"Greensboro, NC",NC,930/20,930,20,18300,10300,82,29000,49300,31000,20300,-79.7740341,36.0874382
578,Hood College,"Frederick, MD",MD,NA/NA,NA,NA,56200,25600,100,27000,44400,-11800,17400,-77.4202024,39.4213829
579,University of Michigan-Dearborn,"Dearborn, MI",MI,NA/25,NA,25,22600,12200,78,25800,52400,29800,26600,-83.233202,42.318409
579,North Park University,"Chicago, IL",IL,1020/21,1020,21,42400,21600,NA,26300,44800,2400,18500,-87.7106078,41.9747121
581,Centenary University,"Hackettstown, NJ",NJ,940/18,940,18,49500,23500,98,25500,42600,-6900,17100,-74.834384,40.8474559
582,Xavier University of Louisiana,"New Orleans, LA",LA,1000/23,1000,23,37300,18700,67,26500,44700,7400,18200,-90.107084,29.963863
583,Eastern Mennonite University,"Harrisonburg, VA",VA,1030/24,1030,24,50800,25200,99,23500,43600,-7200,20100,-78.8773972,38.4726203
584,Gordon College,"Wenham, MA",MA,1050/26,1050,26,51100,31400,100,27000,44700,-6400,17700,-70.8209286,42.5893751
585,The Evergreen State College,"Olympia, WA",WA,1050/23,1050,23,21900,14400,87,17600,44500,22600,26900,-122.9770785,47.0729029
586,The University of Montana-Western,"Dillon, MT",MT,1060/19,1060,19,18900,11600,66,20900,35900,17000,15000,-112.6388619,45.2086889
587,University of Louisville,"Louisville, KY",KY,NA/26,NA,26,27100,17400,90,19700,47000,19900,27300,-85.7585023,38.2122761
588,Emerson College,"Boston, MA",MA,1230/28,1230,28,66900,42200,88,23500,46800,-20100,23300,-71.06581,42.3522216
588,Notre Dame de Namur University,"Belmont, CA",CA,910/20,910,20,55700,31000,100,25200,53500,-2200,28300,-122.28487,37.517299
590,The College of Wooster,"Wooster, OH",OH,1210/27,1210,27,63400,32000,97,26000,45800,-17600,19800,-81.9372838,40.8114268
591,California Institute of the Arts,"Valencia, CA",CA,NA/NA,NA,NA,70600,54200,99,28500,48200,-22400,19700,-118.5668378,34.3930631
