rank,name,location,median_SAT_ACT_score,est_price_2018_19_without_aid,est_price_2018-19_with_avg._grant,percent_with_need_who_get_grants,ave_student_debt,early_career_earnings
384,Beloit College,"Beloit, WI",1220/27,60900,27700,98%,27000,45300
385,Grand Valley State University,"Allendale, MI",1050/24,24800,17100,84%,25000,44500
386,Ithaca College,"Ithaca, NY",NA/NA,62800,37600,98%,25800,48700
387,Kalamazoo College,"Kalamazoo, MI",NA/NA,60700,30000,99%,26500,47400
388,University of San Diego,"San Diego, CA",1210/28,67000,41400,95%,22900,54400
389,Carlow University,"Pittsburgh, PA",970/22,44200,19600,81%,27000,41800
390,Radford University,"Radford, VA",NA/NA,23800,15100,60%,23000,46200
391,Sewanee-The University of the South,"Sewanee, TN",NA/NA,62400,33000,98%,19000,46000
392,Houghton College,"Houghton, NY",1100/25,45500,23100,100%,25500,41000
393,Elmhurst College,"Elmhurst, IL",1040/23,51200,20200,100%,21500,46900
394,Central College,"Pella, IA",1120/24,51800,24400,100%,27000,46200
395,Austin College,"Sherman, TX",1210/26,55100,24800,100%,26000,48200
396,South Dakota State University,"Brookings, SD",1030/23,23400,23000,50%,25100,47900
397,Slippery Rock University of Pennsylvania,"Slippery Rock, PA",1000/21,25000,18700,65%,25000,42900
398,Saint Peter's University,"Jersey City, NJ",930/20,55300,15800,99%,25000,50700
399,University of Wisconsin-Oshkosh,"Oshkosh, WI",NA/22,19500,14100,57%,23700,45300
400,University of North Carolina at Charlotte,"Charlotte, NC",1120/24,24200,13000,76%,23000,49300
400,Lycoming College,"Williamsport, PA",1030/23,55200,20900,100%,27000,44500
402,Augsburg College,"Minneapolis, MN",1060/22,52500,26200,99%,27000,47400
403,Winona State University,"Winona, MN",930/23,22300,18400,69%,24000,46700
404,Madonna University,"Livonia, MI",NA/21,35000,15900,88%,25000,43700
404,Tennessee Technological University,"Cookeville, TN",1080/24,27100,15800,55%,16000,51000
406,Lawrence University,"Appleton, WI",1270/29,59900,31400,99%,27400,47000
407,The New School,"New York, NY",1160/26,71100,48900,NA,23900,50000
408,California Lutheran University,"Thousand Oaks, CA",1100/25,61300,31200,99%,23000,48000
409,University of South Carolina-Columbia,"Columbia, SC",1210/28,27700,21400,44%,23300,46900
410,University of Missouri-Columbia,"Columbia, MO",1160/26,27200,17500,80%,21900,49100
411,Millikin University,"Decatur, IL",1000/23,48800,23600,89%,27000,44300
412,University of Kansas,"Lawrence, KS",NA/26,25900,19300,76%,20500,49500
413,Tennessee State University,"Nashville, TN",NA/NA,21800,10300,80%,28000,46100
413,University of Idaho,"Moscow, ID",1050/24,21800,15900,73%,24300,49300
413,University of Maryland-Baltimore County,"Baltimore, MD",1220/27,28200,16500,72%,21200,54000
416,St John's University-New York,"Queens, NY",1080/25,61300,28500,78%,26000,51800
417,University of Saint Francis-Fort Wayne,"Fort Wayne, IN",1000/22,43200,18300,99%,25300,43600
418,University of Denver,"Denver, CO",1210/29,66900,35400,98%,23700,51700
418,Drexel University,"Philadelphia, PA",1190/28,70400,41900,95%,26200,58400
420,University of Minnesota-Morris,"Morris, MN",1150/25,24500,12400,96%,19500,44400
421,Bellarmine University,"Louisville, KY",1070/25,60700,26600,98%,25000,46900
422,Wentworth Institute of Technology,"Boston, MA",1120/25,55400,39300,84%,27000,59200
423,East Carolina University,"Greenville, NC",1050/22,22500,13800,74%,24800,45600
423,Cardinal Stritch University,"Milwaukee, WI",1010/20,43700,18600,94%,27000,48000
425,University of Maine at Farmington,"Farmington, ME",NA/NA,23100,15400,91%,27000,40100
426,Westmont College,"Santa Barbara, CA",1160/26,62400,37600,100%,25100,50700
427,Huntington University,"Huntington, IN",1030/22,38200,23100,77%,27000,37700
428,Montana State University,"Bozeman, MT",1130/25,21600,16100,69%,24000,50900
429,Maryville University of Saint Louis,"Saint Louis, MO",1030/25,47200,28600,97%,23700,45100
430,Bay Path University,"Longmeadow, MA",960/22,50500,23600,100%,24000,41800
431,Clarke University,"Dubuque, IA",960/23,47000,25500,100%,26000,42600
432,Mount Vernon Nazarene University,"Mount Vernon, OH",1050/23,42100,20700,99%,26500,41300
433,Moravian College,"Bethlehem, PA",1010/23,59300,31400,100%,27000,49600
434,University of Oregon,"Eugene, OR",1100/25,27500,16500,73%,21100,47600
435,Southwest Minnesota State University,"Marshall, MN",920/21,21300,15900,71%,21700,42300
436,Loyola University Chicago,"Chicago, IL",1150/27,61400,37500,96%,25000,49600
437,Dominican University,"River Forest, IL",1060/23,46100,19600,99%,25000,46600
438,Bloomsburg University of Pennsylvania,"Bloomsburg, PA",970/21,24900,17200,64%,26000,46500
439,Saint Anselm College,"Manchester, NH",1140/26,58200,34500,100%,27000,52500
440,Fitchburg State University,"Fitchburg, MA",990/21,24600,15400,70%,22700,45400
441,Lewis & Clark College,"Portland, OR",1280/29,63600,38500,99%,24500,46800
441,Elizabethtown College,"Elizabethtown, PA",1080/25,59900,30600,100%,27000,46600
443,Rivier University,"Nashua, NH",NA/NA,49300,27000,97%,25500,47500
443,University of Wisconsin-Whitewater,"Whitewater, WI",1000/23,18200,13800,62%,25000,46100
443,Seattle Pacific University,"Seattle, WA",1110/24,57800,31300,100%,25600,49000
446,University of Arkansas,"Fayetteville, AR",1120/26,25500,16500,76%,21500,49100
447,SUNY College at Oswego,"Oswego, NY",1100/25,24700,17600,87%,21500,42800
448,Fairleigh Dickinson University-Metropolitan Campus,"Teaneck, NJ",970/20,58000,19300,84%,26000,47400
449,Rockhurst University,"Kansas City, MO",1080/26,52900,25500,100%,20500,51500
450,University of Detroit Mercy,"Detroit, MI",1120/25,58800,24000,98%,23500,50900
451,University of Colorado Boulder,"Boulder, CO",1190/28,30900,24400,76%,19500,53400
452,Mississippi University for Women,"Columbus, MS",1080/21,19600,10800,69%,15000,40500
453,Pitzer College,"Claremont, CA",NA/NA,72200,27400,98%,15900,49000
454,Rhodes College,"Memphis, TN",1270/29,63000,32000,100%,26200,47900
455,Winston-Salem State University,"Winston-Salem, NC",870/18,20300,11100,85%,25700,44900
